equip_id	equip_name	attr	selling_price	buying_price	detail	unique_passive	img_url
1111	铁剑	攻击	150	250	+20物理攻击	NULL	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1111.jpg
1112	匕首	攻击	174	290	+10%攻击速度 	NULL	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1112.jpg
1113	搏击拳套	攻击	192	320	+8%暴击率 	NULL	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1113.jpg
1114	吸血之镰	攻击	246	410	+10物理攻击<br>+8%物理吸血	NULL	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1114.jpg
1116	雷鸣刃	攻击	270	450	+40物理攻击	NULL	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1116.jpg
1117	冲能拳套	攻击	330	550	+15%暴击率 	NULL	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1117.jpg
1121	风暴巨剑	攻击	546	910	+80物理攻击 	NULL	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1121.jpg
1122	日冕	攻击	474	790	+40物理攻击<br>+300最大生命 	唯一被动-残废：普通攻击有30%几率降低敌人20%移动速度，持续2秒	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1122.jpg
1123	狂暴双刃	攻击	534	890	+15%攻击速度<br>+10%暴击率<br>+打野%移速	NULL	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1123.jpg
1124	陨星	攻击	250	1080	+45物理攻击<br>+10%冷却缩减	唯一被动-切割：+60护甲穿透	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1124.jpg
1125	破魔刀	攻击	910	2000	物理攻击+100<br>+50法术防御	唯一被动-破魔：增加等同于自身物理攻击40%的法术防御，最多增加300点	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1125.jpg
1126	末世	攻击	1296	2160	+60物理攻击<br>+30%攻击速度 <br>+10%物理吸血	唯一被动-破败：普通攻击附带敌人当前生命值8%的物理伤害（对野怪最多：80）	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1126.jpg
1127	名刀?司命	攻击	1056	1760	+60物理攻击<br>+打野%冷却缩减	唯一被动-暗幕：免疫致命伤并免疫伤害、增加20%移动速度持续1秒近战/0.5秒远程，90秒冷却	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1127.jpg
1128	冰霜长矛	攻击	1182	1980	+80物理攻击<br>+600最大生命 	唯一被动-碎冰：普通攻击会减少目标30%攻击速度和移动速度，持续2秒<br>远程英雄使用时减速效果持续时间衰减为1秒	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1128.jpg
1129	速击之枪	攻击	534	890	+25%攻击速度	唯一被动-精准：普通攻击伤害提升30点，远程英雄使用时该效果翻倍。	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1129.jpg
1131	碎星锤	攻击	1260	2100	+80物理攻击<br>+10%冷却缩减	唯一被动：+45%物理护甲穿透	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1131.jpg
1132	泣血之刃	攻击	1044	1740	+100物理攻击<br>+25%物理吸血 	NULL	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1132.jpg
1133	无尽战刃	攻击	1284	2140	+120物理攻击<br>+20%暴击率	唯一被动：+50%暴击效果	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1133.jpg
1134	宗师之力	攻击	1506	2100	+60物理攻击<br>+20%暴击率<br>+400 最大法力<br>+400最大生命	唯一被动-强击：使用技能后，2秒内提升自身8%移动速度，并使得下次普通攻击造成额外1.0*物理攻击的物理伤害，冷却时间：2秒	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1134.jpg
1135	闪电匕首	攻击	1104	1840	+30%攻击速度<br>+20%暴击率<br>+8%移速	唯一被动-电弧：普通攻击有30%几率释放连锁闪电，对目标造成（100+0.3AD）点法术伤害（该效果有0.5秒CD），这个伤害可以暴击	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1135.jpg
1136	影刃	攻击	1242	2070	+40%攻击速度<br>+20%暴击率<br>+打野%移速	唯一被动-暴风：暴击后提升自身30%攻击速度和10%移动速度，持续2秒	http://game.gtimg.cn/images/yxzj/img201606/itemimg/1136.jpg
