hero_id	name	pay_type	new_type	hero_type	hero_type2	skin_name	img_url	live	attack	skill	difficulty
105	廉颇	10	0	坦克	NULL	正义爆轰|地狱岩魂	http://game.gtimg.cn/images/yxzj/img201606/heroimg/105/105.jpg	100	30	40	30
106	小乔	NULL	0	法师	NULL	恋之微风|万圣前夜|天鹅之梦|纯白花嫁|缤纷独角兽	http://game.gtimg.cn/images/yxzj/img201606/heroimg/106/106.jpg	20	10	80	30
107	赵云	NULL	0	战士	刺客	苍天翔龙|忍●炎影|未来纪元|皇家上将|嘻哈天王|白执事|引擎之心	http://game.gtimg.cn/images/yxzj/img201606/heroimg/107/107.jpg	60	60	60	50
108	墨子	NULL	0	法师	坦克	和平守望|金属风暴|龙骑士|进击墨子号	http://game.gtimg.cn/images/yxzj/img201606/heroimg/108/108.jpg	50	40	50	60
109	妲己	11	0	法师	NULL	魅惑之狐|女仆咖啡|魅力维加斯|仙境爱丽丝|少女阿狸|热情桑巴	http://game.gtimg.cn/images/yxzj/img201606/heroimg/109/109.jpg	20	10	80	20
110	嬴政	NULL	0	法师	NULL	王者独尊|摇滚巨星|暗夜贵公子|优雅恋人	http://game.gtimg.cn/images/yxzj/img201606/heroimg/110/110.jpg	30	40	100	60
111	孙尚香	NULL	0	射手	NULL	千金重弩|火炮千金|水果甜心|蔷薇恋人|杀手不太冷|末日机甲|沉稳之力	http://game.gtimg.cn/images/yxzj/img201606/heroimg/111/111.jpg	30	80	50	60
112	鲁班七号	11	0	射手	NULL	机关造物|木偶奇遇记|福禄兄弟|电玩小子|星空梦想	http://game.gtimg.cn/images/yxzj/img201606/heroimg/112/112.jpg	10	100	30	40
113	庄周	NULL	0	辅助	坦克	逍遥幻梦|鲤鱼之梦|蜃楼王|云端筑梦师	http://game.gtimg.cn/images/yxzj/img201606/heroimg/113/113.jpg	80	20	40	20
114	刘禅	NULL	0	坦克	NULL	暴走机关|英喵野望|绅士熊喵	http://game.gtimg.cn/images/yxzj/img201606/heroimg/114/114.jpg	70	30	50	30
115	高渐离	NULL	0	法师	NULL	叛逆吟游|金属狂潮|死亡摇滚	http://game.gtimg.cn/images/yxzj/img201606/heroimg/115/115.jpg	50	40	90	40
116	阿轲	NULL	0	刺客	NULL	信念之刃|爱心护理|暗夜猫娘|致命风华	http://game.gtimg.cn/images/yxzj/img201606/heroimg/116/116.jpg	30	100	40	60
117	钟无艳	NULL	0	战士	坦克	野蛮之锤|生化警戒|王者之锤|海滩丽影	http://game.gtimg.cn/images/yxzj/img201606/heroimg/117/117.jpg	70	50	70	40
118	孙膑	NULL	0	辅助	法师	逆流之时|未来旅行|天使之翼|妖精王	http://game.gtimg.cn/images/yxzj/img201606/heroimg/118/118.jpg	20	10	60	50
119	扁鹊	NULL	0	法师	辅助	善恶怪医|救世之瞳|化身博士|炼金王	http://game.gtimg.cn/images/yxzj/img201606/heroimg/119/119.jpg	50	40	30	40
120	白起	NULL	0	坦克	NULL	最终兵器|白色死神|狰	http://game.gtimg.cn/images/yxzj/img201606/heroimg/120/120.jpg	80	30	40	40
121	芈月	NULL	0	法师	坦克	永恒之月|红桃皇后|大秦宣太后|重明	http://game.gtimg.cn/images/yxzj/img201606/heroimg/121/121.jpg	60	50	70	50
